"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","entidad","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"3",27015070,"Apto. Olaya Herrera","Medellín","Antioquía","6,22","-75,58","1490","IDEAM (conv.)","4382,6","4409,5","4295,7","4165,2","4050,5","4321,6","4668,1","4605,7","4595,1","4419,0","3958,3","4149,4","4335,1","10","ene-85","jun-97"
"4",23085040,"La Selva","Rionegro","Antioquía","6,12","-75,40","2090","IDEAM (conv.)","4022,3","4213,8","4305,2","4054,8","4189,5","4762,3","4899,7","4983,3","4548,1","3827,3","3664,0","3790,9","4271,8","11","ene-85","dic-96"
"5",23085220,"San Carlos","San Carlos","Antioquía","6,15","-75,03","1113","IDEAM (conv.)","3867,0","3581,4","3811,3","3926,1","3876,4","4251,0","4621,5","4656,7","4135,2","3612,8","3503,5","3401,5","3937,1","7","ene-85","jun-93"
"6",23075010,"Rio Claro","Sonson","Antioquía","5,85","-74,83","449","IDEAM (conv.)","4199,3","4201,9","4112,1","4701,4","4818,3","4650,9","4956,9","4898,0","4788,0","4184,2","4281,8","4200,9","4499,5","3","feb-87","abr-89"
"7",37055010,"Apto. Santiago Perez","Arauca","Arauca","7,07","-70,73","128","IDEAM (conv.)","5156,3","4484,1","4617,1","4371,2","4292,6","4204,0","4299,1","4416,1","4895,9","4702,5","4786,5","5212,4","4619,8","4","ene-86","ene-92"
"8",14015020,"Apto. Rafael Nuñez","Cartagena","Bolívar","10,43","-75,50","2","IDEAM (conv.)","5987,7","6412,9","6378,8","6012,8","4951,4","4988,7","5644,2","5213,1","5291,3","5014,5","4988,2","5746,8","5552,5","7","feb-90","dic-00"
"9",24025030,"La sierra","Duitama","Boyacá","5,97","-73,15","2700","IDEAM (conv.)","4446,8","4411,4","4052,7","3990,4","4077,4","4297,7","4292,7","4387,1","4349,2","4074,5","3886,8","4466,3","4227,7","16","jul-85","dic-01"
"10",24035120,"Surbata Bonza","Duitama","Boyacá","5,82","-73,07","2485","IDEAM (conv.)","4932,3","4933,7","4992,7","4741,5","4642,7","4407,6","4548,5","4637,0","4687,8","4758,8","4827,2","4969,5","4756,6","11","feb-87","jun-97"
"11",24035150,"Belencito","Nobsa","Boyacá","5,77","-72,88","2530","IDEAM (conv.)","4894,5","4879,0","5083,2","3985,3","4314,4","4620,2","4760,5","5047,1","4543,5","4640,8","4530,9","4994,6","4691,1","5","ene-85","sep-94"
"12",24035130,"UPTC","Tunja","Boyacá","5,55","-73,35","2690","IDEAM (conv.)","5688,1","5184,2","4695,9","4678,5","4282,1","4092,7","4299,9","4515,6","4926,2","4625,1","4350,7","4550,3","4657,4","6","ene-95","dic-01"
"13",24015300,"Villa de Leyva","Villa de Leyva","Boyacá","5,65","-73,53","2215","IDEAM (conv.)","4966,1","4881,6","4750,1","4567,7","4381,3","4541,7","4532,6","4599,6","4545,4","4526,4","4174,0","4471,7","4578,2","16","ene-85","dic-01"
"14",46035010,"Maguare","El doncello","Caqueta","1,63","-75,15","270","IDEAM (conv.)","4407,6","4131,8","3630,4","3309,3","3492,4","3012,8","3292,8","3706,4","3914,7","4302,1","4112,8","4678,6","3832,6","8","ene-85","may-05"
"15",44135010,"Araracuara","Solano","Caqueta","-0,60","-72,37","150","IDEAM (conv.)","4100,2","3761,7","3836,1","4018,8","3746,3","3301,8","4039,1","4227,2","4370,3","4343,3","4121,7","4053,5","3993,3","10","oct-86","dic-99"
"16",28025070,"Motilonia Codazzi","Agustin Codazzi","Cesar","10,0","-73,3","180","IDEAM (conv.)","4382,9","4600,8","4785,2","4629,0","4630,8","4509,3","4374,2","4342,1","4613,5","4623,7","4412,1","4503,4","4533,9","11","ene-86","oct-96"
"17",21205791,"Aeropuerto Eldorado","Bogotá","Cundinamarca","4,71","-74,15","2541","IDEAM (conv.)","4681,9","4312,7","4322,2","3716,7","3506,0","3658,9","3917,3","4168,2","3947,8","3961,0","4017,7","4241,4","4037,7","23","mar-81","dic-04"
"18",21205420,"Tibaitata","Mosquera","Cundinamarca","4,68","-74,20","2543","IDEAM (conv.)","4522,8","4296,4","4129,0","3758,4","3709,6","3845,3","3946,5","4123,7","4025,9","4079,8","3960,4","4149,8","4045,6","11","may-92","sep-02"
"19",21105060,"Hidrobetania","Campoalegre","Huila","2,70","-75,42","500","IDEAM (conv.)","4462,7","4420,4","4188,8","4068,3","4320,4","4527,0","4454,1","4501,8","4825,7","4491,8","4712,5","4387,3","4446,7","7","abr-90","feb-97"
"20",21115020,"Apto. Benito Salas","Neiva","Huila","2,93","-75,28","439","IDEAM (conv.)","4836,0","4700,4","4590,5","4628,9","4552,2","4550,1","4509,7","4656,6","4785,1","4782,3","4607,8","4618,0","4651,5","14","mar-90","ago-03"
"21",21015030,"Parque Arqueologico","San Agustin","Huila","1,88","-76,28","1800","IDEAM (conv.)","4716,9","4657,5","4311,1","4462,7","4602,3","4384,2","4136,8","4228,7","4894,9","4829,1","4777,9","4826,6","4569,1","14","may-90","ago-03"
"22",15065130,"La Mina","Hatonuevo","La Guajira","11,13","-72,60","80","IDEAM (conv.)","5091,6","4726,6","5105,4","5011,7","5033,1","5192,6","5307,9","5527,4","5077,0","5035,9","4756,2","4498,9","5030,4","7","abr-89","dic-00"
"23",15065010,"Apto. Almirante Padilla","Riohacha","La Guajira","11,52","-72,92","4","IDEAM (conv.)","5202,8","5556,0","5761,0","5898,3","5618,0","5975,8","6237,6","6045,2","5832,8","5247,8","4977,5","4916,6","5605,8","17","sep-91","mar-14"
"24",15085020,"Nazareth","Uribia","La Guajira","12,17","-71,28","85","IDEAM (conv.)","4868,0","4763,8","5365,8","5023,6","4880,2","6052,6","5670,4","5842,4","5501,6","4601,5","4118,1","4321,1","5084,1","7","dic-86","sep-94"
"25",29065030,"Prado Sevilla","Zona Bananera","Magdalena","10,75","-74,15","18","IDEAM (conv.)","5373,1","5537,5","5698,7","5694,0","5349,7","5392,5","5488,7","5471,5","5037,5","5194,5","5026,5","5393,5","5388,1","10","ene-90","sep-99"
"26",35035020,"Apto. Vanguardia","Villavicencio","Meta","4,15","-73,62","423","IDEAM (conv.)","4784,9","4514,5","4337,1","4565,8","4699,2","4650,1","4542,9","4993,2","5307,6","5286,1","4747,4","4580,0","4750,7","14","ene-90","may-01"
