"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final","NA"
"1",27015070,"Apto. Olaya Herrera","Medellín","Antioquía","6,22","-75,58",1490,"IDEAM (conv.)","4382,6","4409,5","4295,7","4165,2","4050,5","4321,6","4668,1","4605,7","4595,1","4419,0","3958,3","4149,4","4335,1",10,"ene-85","jun-97"
"2",37055010,"Apto. Santiago Perez","Arauca","Arauca","7,07","-70,73",128,"IDEAM (conv.)","5156,3","4484,1","4617,1","4371,2","4292,6","4204,0","4299,1","4416,1","4895,9","4702,5","4786,5","5212,4","4619,8",4,"ene-86","ene-92"
"3",2904512,"Las Flores","Barranquilla","Atlántico","11,04","-74,82",2,"IDEAM (aut.)","6383,8","6369,2","6804,4","6072,2","5971,7","5968,9","6266,6","5594,7","5573,7","5286,9","5399,2","5722,7","5951,2",6,"nov-09","dic-14"
"4",14015020,"Apto. Rafael Nuñez","Cartagena","Bolívar","10,43","-75,50",2,"IDEAM (conv.)","5987,7","6412,9","6378,8","6012,8","4951,4","4988,7","5644,2","5213,1","5291,3","5014,5","4988,2","5746,8","5552,5",7,"feb-90","dic-00"
"5",24035130,"UPTC","Tunja","Boyacá","5,55","-73,35",2690,"IDEAM (conv.)","5688,1","5184,2","4695,9","4678,5","4282,1","4092,7","4299,9","4515,6","4926,2","4625,1","4350,7","4550,3","4657,4",6,"ene-95","dic-01"
"6",26155230,"E.M.A.S.","Manizales","Caldas","5,09","-75,51",2207,"IDEAM (aut.)","3943,7","3849,3","3695,8","3657,8","3461,1","3546,0","4074,1","3983,2","4117,1","3720,8","3490,2","3667,0","3767,2",10,"may-05","dic-14"
"7",44035050,"Macagual - Florencia","Florencia","Caqueta","1,50","-75,66",257,"IDEAM (aut.)","4083,3","3937,4","3349,6","3485,3","3084,8","3204,2","3137,7","3577,7","3770,0","3909,8","3951,1","3918,7","3617,5",10,"jul-05","dic-14"
"8",3521502,"Apto. Yopal","Yopal","Casanare","5,32","-72,38",330,"IDEAM (aut.)","5760,7","5339,7","4701,4","4569,8","4296,0","4240,9","4186,0","4453,6","4974,8","4885,2","5091,8","5521,0","4835,1",5,"nov-09","dic-14"
"9",28035060,"Fedearroz","Valledupar","Cesar","10,46","-73,25",184,"IDEAM (aut.)","5420,1","5685,3","5317,3","5441,3","5253,8","5388,7","5517,8","5375,4","4996,8","4865,5","4950,3","5152,7","5280,4",10,"sep-05","dic-14"
"10",NA,"Monteria","Monteria","Córdoba","8,81","-75,85",17,"FEDEARROZ","4345,6","4389,8","4371,3","4173,9","3873,2","4337,5","4770,2","4429,5","4292,2","3923,6","4018,9","4039,2","4247,1",4,"oct-11","abr-14"
"11",21205791,"Apto. Eldorado","Bogotá","Cundinamarca","4,71","-74,15",2541,"IDEAM (conv.)","4681,9","4312,7","4322,2","3716,7","3506,0","3658,9","3917,3","4168,2","3947,8","3961,0","4017,7","4241,4","4037,7",23,"mar-81","dic-04"
"12",NA,"Inirida","Puerto Inirida","Guainia","4,02","-67,67",90,"IDEAM (SUTRON)","4500,1","4327,1","3939,4","4140,2","3634,7","3628,7","3542,4","3891,2","4257,1","4117,2","4079,2","4202,1","4021,6",4,"feb-97","sep-02"
"13",21115020,"Apto. Benito Salas","Neiva","Huila","2,93","-75,28",439,"IDEAM (conv.)","4836,0","4700,4","4590,5","4628,9","4552,2","4550,1","4509,7","4656,6","4785,1","4782,3","4607,8","4618,0","4651,5",14,"mar-90","ago-03"
