"","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual"
"1","Aeropuerto Vásquez Cobo","Leticia","Amazonas","-4,15","-69,95","84","252,7","255,1","258,0","256,9","253,4","255,3","262,5","268,1","273,5","269,6","260,7","254,5","260,0"
"2","Aeropuerto Olaya Herrera","Medellín","Antioquia","6,22","-75,60","1490","241,4","245,1","253,1","259,0","260,2","262,9","269,4","272,8","274,5","265,9","251,3","243,3","258,2"
"3","Aeropuerto Arauca","Arauca","Arauca","7,07","-70,73","128","243,9","247,1","255,5","263,9","266,4","270,0","277,4","278,6","277,6","268,3","254,8","246,2","262,5"
"4","Aeropuerto Ernesto
Cortissoz","Barranquilla","Atlántico","11,03","-74,78","14","244,7","247,5","257,6","266,6","272,4","276,9","282,6","283,5","280,8","269,4","254,5","246,1","265,2"
"5","Aeropuerto El Dorado","Bogotá","Bogotá","4,72","-74,15","2547","242,7","246,9","254,1","258,9","258,8","262,6","270,4","273,1","273,9","265,6","252,3","244,1","258,6"
"6","Aeropuerto Rafael Núñez","Cartagena","Bolívar","10,45","-75,52","2","244,4","247,4","257,4","266,3","271,1","275,1","281,0","282,5","280,7","270,0","254,9","245,9","264,7"
"7","U P T C","Tunja","Boyacá","5,57","-73,37","2690","239,4","243,5","250,9","257,7","258,7","262,7","270,9","273,5","273,4","264,5","250,1","240,6","257,1"
"8","Aeropuerto La Nubia","Manizales","Caldas","5,03","-75,47","2060","243,1","247,0","253,7","258,5","258,7","261,7","268,7","272,3","274,4","265,9","251,9","244,3","258,4"
"9","Aeropuerto Gustavo
Artunduaga","Florencia","Caquetá","1,60","-75,53","244","246,4","250,7","256,3","256,9","254,9","258,4","264,9","267,9","269,8","263,1","252,0","245,8","257,3"
"10","Aeropuerto Yopal","Yopal","Casanare","5,33","-72,40","325","241,6","245,7","253,2","259,0","259,3","263,3","271,5","273,9","273,9","265,1","251,3","237,6","258,0"
"11","Aeropuerto Guillermo
León Valencia","Popayán","Cauca","2,43","-76,58","1730","246,7","250,6","255,8","257,7","256,3","260,0","266,3","270,0","272,4","264,8","253,1","242,6","258,0"
"12","Aeropuerto Alfonso López","Valledupar","Cesar","10,43","-73,25","138","241,5","245,7","255,5","265,1","270,5","273,6","279,5","280,6","279,4","269,7","253,9","243,4","263,2"
"13","Universidad de Córdoba","Montería","Córdoba","8,82","-75,85","20","245,0","248,2","258,2","266,6","269,6","272,9","278,5","281,1","280,6","270,0","255,0","246,5","264,3"
"14","Aeropuerto El Caraño","Quibdo","Choco","5,72","-76,62","53","247,5","251,3","259,4","264,3","264,4","268,2","275,6","279,2","280,2","269,8","254,9","247,9","263,6"
"15","Puerto Inírida","Inírida","Guainía","3,83","-67,92","100","244,8","248,0","253,9","258,7","259,0","262,5","269,9","272,2","274,0","266,5","254,3","242,3","258,8"
"16","El Trueno","San Jose del
Guaviare","Guaviare","2,58","-72,63","165","246,9","250,6","257,1","259,4","257,9","261,7","269,1","271,7","273,1","266,2","255,0","241,8","259,2"
"17","Aeropuerto Benito Salas","Neiva","Huila","2,97","-75,30","439","244,1","248,3","254,4","256,9","255,7","259,0","266,2","269,2","271,2","264,1","251,7","244,5","257,1"
"19","Aeropuerto Simon Bolívar","Santa Marta","Magdalena","11,13","-74,23","4","244,6","247,2","257,3","266,6","272,3","276,3","282,1","283,4","280,9","269,7","254,8","246,2","265,1"
"20","Aeropuerto Vanguardia","Villavicencio","Meta","4,17","-73,62","423","244,3","248,6","255,8","259,6","259,0","262,9","270,9","273,2","273,9","265,9","253,2","245,4","259,4"
"21","Aeropuerto Antonio Nariño","Pasto","Nariño","1,42","-77,27","1796","247,1","250,8","255,4","256,3","254,7","258,2","264,2","268,2","271,3","264,4","253,1","239,5","256,9"
"22","Aeropuerto Camilo Daza","Cúcuta","Norte de
Santander","7,93","-72,52","250","242,8","246,2","255,4","263,8","265,9","268,2","274,8","277,1","277,1","268,4","254,7","239,0","261,1"
"23","Acueducto Mocoa","Mocoa","Putumayo","1,12","-76,63","540","245,6","249,8","254,4","254,8","252,9","256,2","262,1","265,4","267,9","261,3","250,5","244,2","255,4"
"24","Aeropuerto El Edén","Armenia","Quindío","4,45","-75,77","1204","244,4","248,3","254,6","259,0","258,7","261,9","269,1","272,7","274,9","266,4","252,4","245,3","259,0"
"25","Aeropuerto Matecaña","Pereira","Risaralda","4,82","-75,73","1342","244,3","248,3","254,8","259,4","259,3","262,5","269,7","273,3","275,4","266,7","252,5","245,4","259,3"
"26","Aeropuerto El Embrujo","Providencia","San Andrés y
Providencia","13,37","-81,35","1","244,5","247,2","257,2","266,9","273,7","279,1","284,0","283,8","279,5","267,3","253,0","245,4","265,1"
"27","Aeropuerto
Sesquicentenario","San Andrés","San Andrés y
Providencia","12,58","-81,72","1","244,1","246,7","256,3","265,9","273,1","278,8","283,4","283,8","280,2","268,2","253,4","244,3","264,9"
"28","Universidad Industrial de
Santander","Bucaramanga","Santander","7,13","-73,10","1018","240,9","244,8","253,5","261,2","263,4","266,3","273,2","275,9","275,8","267,2","252,8","241,0","259,7"
"29","Aeropuerto Rafael Bravo","Corozal","Sucre","9,33","-75,28","166","244,1","247,1","257,1","265,6","269,7","272,8","278,4","280,7","280,4","270,1","254,9","245,7","263,9"
"30","Aeropuerto Perales","Ibagué","Tolima","4,43","-75,15","928","243,1","247,3","253,7","258,2","257,9","261,1","268,5","271,8","273,8","265,8","252,0","244,3","258,1"
"31","Aeropuerto Alfonso Bonilla
Aragón","Palmira","Valle","3,55","-76,38","961","246,1","250,2","255,8","258,9","258,1","261,8","268,9","272,5","275,0","266,5","253,3","246,7","259,5"
"32","Aeropuerto Mitú","Mitú","Vaupés","1,27","-70,23","207","247,7","251,2","256,0","258,0","256,3","259,6","267,5","270,6","273,4","267,1","256,2","248,4","259,3"
"33","Aeropuerto Puerto
Carreño","Puerto
Carreño","Vichada","6,18","-67,48","50","243,4","246,1","252,9","259,8","262,7","266,1","273,7","275,1","275,4","267,0","253,5","239,2","259,6"
