"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"1",47075010,"La chorrera","La Chorrera","Amazonas","-1,43","-72,78",160,"4,8","4,1","3,6","3,5","3,4","3,3","4,0","4,7","5,1","5,0","4,9","4,6","4,3",15,"jun-86","feb-11"
"2",48015010,"Aeropuerto Vásquez Cobo","Leticia","Amazonas","-4,18","-69,93",84,"4,3","4,1","4,2","4,7","4,7","4,9","6,1","6,4","5,9","5,5","5,2","4,5","5,0",31,"ene-82","abr-12"
"3",23085030,"Alejandría","Alejandría","Antioquia","6,37","-75,13",1660,"4,7","4,5","3,8","3,8","4,6","4,8","6,0","6,5","5,2","4,4","4,2","4,3","4,7",20,"sep-88","ago-12"
"4",23085050,"Santa Rita","Alejandría","Antioquia","6,32","-75,17",1875,"6,2","6,0","5,1","4,5","5,2","6,2","7,8","7,2","6,5","5,0","5,2","5,6","5,9",19,"sep-59","dic-81"
"5",26195020,"Ita Andes","Andes","Antioquia","5,68","-75,87",1180,"5,3","5,4","4,3","3,9","4,1","4,6","5,5","5,1","4,2","4,0","4,4","4,7","4,6",30,"ene-79","sep-12"
"6",27025030,"Anorí","Anorí","Antioquia","7,07","-75,15",1610,"4,5","3,9","3,2","2,9","3,7","5,1","5,9","5,4","4,0","3,3","3,5","3,7","4,1",29,"ene-79","ago-12"
"7",26205060,"La Noque","Anzá","Antioquia","6,40","-75,83",450,"6,1","6,6","6,4","5,4","5,8","3,8","7,0","6,0","5,5","4,8","5,3","5,9","5,7",5,"sep-83","ene-89"
"8",12015020,"Uniban","Apartado","Antioquia","7,82","-76,65",23,"5,2","4,9","4,0","3,6","3,9","3,2","4,2","4,3","4,0","4,4","4,6","4,5","4,2",32,"ene-79","sep-12"
"9",12045010,"Arboletes","Arboletes","Antioquia","8,83","-76,42",4,"7,1","6,9","6,1","5,0","4,7","5,1","5,2","5,2","4,8","4,8","5,9","6,3","5,6",21,"sep-79","sep-12"
"10",27015090,"Tulio Ospina","Bello","Antioquia","6,32","-75,55",1438,"6,0","5,3","5,2","4,4","4,8","5,8","6,7","6,2","5,3","4,3","4,6","5,3","5,3",20,"ene-79","oct-99"
"11",26225040,"Hacienda Piunti","Buriticá","Antioquia","6,72","-75,90",1650,"4,2","4,1","3,6","2,9","3,0","2,8","3,9","4,2","3,4","2,8","2,9","3,1","3,4",29,"ene-79","sep-12"
"12",27015260,"La Salada","Caldas","Antioquia","6,03","-75,62",1680,"4,5","4,6","3,9","3,0","3,4","4,0","5,2","5,0","4,0","3,5","3,6","3,8","4,0",27,"oct-84","sep-12"
"13",11115020,"Cañasgordas","Cañasgordas","Antioquia","6,75","-76,02",1200,"5,4","5,2","4,7","3,6","3,7","4,3","4,8","4,5","4,0","3,6","4,1","4,5","4,4",28,"ene-79","ago-12"
"14",12015060,"Tulenapa","Carepa","Antioquia","7,77","-76,65",30,"5,9","5,4","4,4","4,0","4,2","4,2","4,8","4,8","4,5","4,9","5,0","5,2","4,8",27,"sep-82","dic-10"
"15",12015070,"Aeropuerto Los Cedros","Carepa","Antioquia","7,82","-76,72",19,"5,8","5,4","4,6","4,2","3,9","3,8","4,2","4,4","4,3","4,7","4,7","4,7","4,6",28,"nov-83","dic-12"
"16",26245040,"JHB Caucasia","Caucasia","Antioquia","7,98","-75,20",72,"5,4","5,2","4,3","4,8","4,3","3,0","5,0","5,6","5,0","4,8","4,6","4,7","4,7",5,"may-08","sep-12"
"17",26255040,"Cacaoteras del Dique","Caucasia","Antioquia","7,98","-75,12",55,"6,7","6,0","5,6","5,1","5,0","5,6","6,5","6,2","5,4","5,2","5,5","5,7","5,7",23,"ene-78","jun-06"
"18",27045020,"Caserí","Caucasia","Antioquia","7,80","-74,93",400,"6,1","5,5","4,0","3,8","4,6","5,0","6,0","5,8","4,7","4,7","4,7","5,1","5,0",22,"dic-81","jul-12"
"19",12015080,"La Cerrazón","Chigorodó","Antioquia","7,72","-76,62",70,"3,9","3,2","3,3","2,1","3,0","2,5","4,1","4,2","3,8","3,8","4,1","4,5","3,6",4,"sep-86","dic-90"
"20",12015090,"La Palmera","Chigorodó","Antioquia","7,53","-76,60",58,"3,4","3,8","2,1","2,7","2,4","2,5","2,6","3,1","2,7","3,4","3,0","2,8","2,9",6,"may-04","jun-09"
"21",11025010,"La Mansa","Ciudad Bolívar","Antioquia","5,87","-76,08",2100,"4,8","5,1","4,8","4,2","4,7","4,9","6,2","6,2","5,0","4,2","4,2","4,4","4,9",33,"ene-79","sep-12"
"22",23085120,"La Maquina","Cocorná","Antioquia","6,07","-75,20",1230,"4,8","5,0","5,3","4,8","5,0","7,3","8,0","7,5","6,3","5,5","5,0","5,3","5,8",3,"ene-92","dic-94"
"23",26215010,"Concordia","Concordia","Antioquia","6,03","-75,92",1904,"5,1","5,2","4,5","3,7","4,1","5,4","6,1","5,5","4,8","3,7","3,6","4,1","4,7",24,"ene-79","jul-12"
"24",27035030,"Santa Margarita","El Bagre","Antioquia","7,73","-74,77",179,"7,4","6,7","6,5","5,4","5,1","5,5","6,6","6,4","5,8","5,4","6,0","6,9","6,1",3,"ene-78","abr-80"
"25",26175040,"Hacienda Túnez","Fredonia","Antioquia","5,80","-75,65",530,"6,5","6,4","5,7","5,0","5,2","5,9","6,6","6,4","5,6","5,0","5,5","5,9","5,8",25,"ene-79","sep-12"
"26",11115040,"Musinga","Frontino","Antioquia","6,78","-76,18",1330,"5,1","5,2","4,1","3,3","3,3","4,0","4,5","4,3","3,6","3,7","4,1","4,7","4,2",32,"mar-85","sep-12"
"27",27015210,"El Vivero","Guarne","Antioquia","6,28","-75,50",2400,"4,4","4,4","3,7","3,2","4,1","5,8","6,8","6,0","4,6","3,1","3,3","3,5","4,4",14,"ene-81","jun-96"
"28",26225050,"El palmar","Ituango","Antioquia","7,12","-75,67",580,"6,2","5,9","5,8","4,8","4,3","4,4","5,5","5,3","4,2","4,4","4,7","5,5","5,1",6,"may-82","may-92"
"29",26195010,"Miguel Valencia","Jardín","Antioquia","5,53","-75,85",1570,"4,8","5,0","4,8","4,2","4,4","5,6","6,0","5,5","4,5","3,8","4,3","5,0","4,8",10,"ene-84","dic-94"
"30",26195030,"El Jardín","Jardín","Antioquia","5,58","-75,80",2005,"4,1","4,6","3,0","2,7","3,0","3,6","4,1","4,4","3,7","3,5","2,6","3,2","3,5",7,"ene-01","ago-12"
"31",26185020,"Mesopotamia","La Unión","Antioquia","5,88","-75,32",2314,"5,5","5,1","4,4","3,9","4,7","5,7","7,0","6,7","5,5","4,0","4,1","4,8","5,1",30,"ene-78","oct-12"
"32",27015070,"Aeropuerto Olaya Herrera","Medellín","Antioquia","6,22","-75,58",1490,"5,5","5,4","4,8","4,1","4,5","5,5","6,4","6,0","4,9","4,3","4,5","4,9","5,1",34,"abr-67","dic-12"
"33",27015170,"Medellín","Medellín","Antioquia","6,68","-75,58",1491,"6,2","6,3","5,5","4,4","4,7","5,8","6,9","6,7","6,2","4,6","4,7","5,8","5,7",10,"ene-57","abr-67"
"34",12015010,"Villarteaga","Mutatá","Antioquia","7,35","-76,48",132,"3,9","3,7","3,1","2,7","2,7","2,5","2,7","2,6","2,6","3,0","2,9","3,1","3,0",22,"ene-79","jul-12"
"35",25025140,"Nechi","Nechí","Antioquia","8,10","-74,77",200,"7,3","6,1","6,1","5,2","5,6","5,8","6,3","6,3","5,8","5,3","5,7","6,4","6,0",13,"ene-78","ene-91"
"36",12025030,"El Mellito","Necocli","Antioquia","8,53","-76,67",10,"6,0","5,6","4,8","4,1","3,8","3,7","4,4","4,4","4,3","4,6","5,1","5,3","4,7",30,"oct-83","jun-12"
"37",23085170,"El Peñol","Peñol","Antioquia","6,23","-75,22",1880,"6,3","6,2","5,3","4,7","5,3","6,4","7,7","7,2","6,4","5,0","5,3","5,4","5,9",22,"feb-60","dic-81"
"38",23095010,"Aeropuerto Puerto Berrío","Puerto Berrío","Antioquia","6,45","-74,40",150,"7,0","6,2","4,7","5,3","6,0","6,6","7,3","7,2","6,2","5,7","6,1","6,5","6,2",29,"ene-83","may-12"
