"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"1","47075010","La chorrera","La Chorrera","Amazonas",-1.43,-72.78,160,1.26,1.57,2.39,2.61,2.74,2.26,1.57,1.04,1.48,1.26,0.61,1.7,1.71,"15","jun-86","feb-11"
"2","48015010","Aeropuerto Vásquez Cobo","Leticia","Amazonas",-4.18,-69.93,84,2.77,2.68,3.13,2.42,2.48,2.58,1.71,1.35,1.74,1.77,2.23,2.1,2.25,"31","ene-82","abr-12"
"3","23085030","Alejandría","Alejandría","Antioquia",6.37,-75.13,1660,1.95,1.86,3.23,2.86,1.77,2.5,0.86,0.14,1.41,2.05,1.86,2.41,1.91,"20","sep-88","ago-12"
"4","23085050","Santa Rita","Alejandría","Antioquia",6.32,-75.17,1875,1.42,1.37,1.42,2.68,1.68,1.37,0.47,0.63,1.37,1.95,1.32,1.84,1.46,"19","sep-59","dic-81"
"5","26195020","Ita Andes","Andes","Antioquia",5.68,-75.87,1180,2.48,2.3,3.52,3.85,3.21,2.7,1.45,1.58,2.85,3.39,2.48,3.09,2.74,"30","ene-79","sep-12"
"6","27025030","Anorí","Anorí","Antioquia",7.07,-75.15,1610,1.36,2.15,3.48,3.33,3,1.85,0.55,0.88,1.91,2.64,1.73,2.48,2.11,"29","ene-79","ago-12"
"7","26205060","La Noque","Anzá","Antioquia",6.4,-75.83,450,1.29,0.43,0.29,1.71,0.29,1.71,NA,0.71,0.86,1,0.86,0.86,0.91,"5","sep-83","ene-89"
"8","12015020","Uniban","Apartado","Antioquia",7.82,-76.65,23,1.55,2.3,3.82,4.76,3.82,5.15,2.21,2.3,2.76,2.45,1.73,2.58,2.95,"32","ene-79","sep-12"
"9","12045010","Arboletes","Arboletes","Antioquia",8.83,-76.42,4,0.24,0.56,0.96,2.32,3.28,2.52,2,1.84,2.16,2.2,1.64,2.12,1.82,"21","sep-79","sep-12"
"10","27015090","Tulio Ospina","Bello","Antioquia",6.32,-75.55,1438,1.2,1.7,1.65,2.55,2.15,1.35,0.7,0.8,1.2,1.95,1.55,1.7,1.54,"20","ene-79","oct-99"
"11","26225040","Hacienda Piunti","Buriticá","Antioquia",6.72,-75.9,1650,4.58,3.58,4.09,5.12,4.3,5.52,3.15,3.03,3.73,6.09,6.12,6.64,4.66,"29","ene-79","sep-12"
"12","27015260","La Salada","Caldas","Antioquia",6.03,-75.62,1680,2.31,2.66,2.66,4.28,3.59,2.59,0.9,1.1,2.28,2.86,1.97,2.86,2.5,"27","oct-84","sep-12"
"13","11115020","Cañasgordas","Cañasgordas","Antioquia",6.75,-76.02,1200,1.97,1.57,1.83,3.27,3.13,1.93,1,1.4,1.9,2.43,2.67,3.1,2.18,"28","ene-79","ago-12"
"14","12015060","Tulenapa","Carepa","Antioquia",7.77,-76.65,30,1.03,1.83,3.48,3.93,3.38,2.45,1.28,1.86,2.14,2.45,1.83,1.86,2.29,"27","sep-82","dic-10"
"15","12015070","Aeropuerto Los Cedros","Carepa","Antioquia",7.82,-76.72,19,1.07,1.77,3.13,3.63,3.43,2.87,1.93,2.4,2.6,2.47,2.03,3.07,2.53,"28","nov-83","dic-12"
"16","26245040","JHB Caucasia","Caucasia","Antioquia",7.98,-75.2,72,0.8,0.4,2.2,1,4,5.6,2,1.6,1.4,1.4,0.8,1.8,1.92,"5","may-08","sep-12"
"17","26255040","Cacaoteras del Diq","Caucasia","Antioquia",7.98,-75.12,55,0.43,1.14,1.36,1.82,3.07,1.89,0.82,0.75,1.82,1.57,1.11,1.07,1.4,"23","ene-78","jun-06"
"18","27045020","Caserí","Caucasia","Antioquia",7.8,-74.93,400,0.75,1.21,2.11,2.57,2.57,2.07,0.5,1.21,1.68,1.57,2.04,0.64,1.58,"22","dic-81","jul-12"
"19","12015080","La Cerrazón","Chigorodó","Antioquia",7.72,-76.62,70,3,3,3,6.4,4.4,2.2,0.6,1.2,1.6,2.6,2.2,3.2,2.78,"4","sep-86","dic-90"
"20","12015090","La Palmera","Chigorodó","Antioquia",7.53,-76.6,58,3.17,4.17,8,7,6.33,3.67,3.17,3.67,4.5,4.17,5.67,6.17,4.97,"6","may-04","jun-09"
"21","11025010","La Mansa","Ciudad Bolívar","Antioquia",5.87,-76.08,2100,2.06,2.09,2.56,2.97,2.18,1.88,0.68,0.79,1.74,2.5,2.35,2.62,2.03,"33","ene-79","sep-12"
"22","23085120","La Maquina","Cocorná","Antioquia",6.07,-75.2,1230,1.67,1,1.33,1,0.33,0.67,NA,NA,0.67,1,1,0.33,0.9,"3","ene-92","dic-94"
"23","26215010","Concordia","Concordia","Antioquia",6.03,-75.92,1904,2.19,1.88,2.42,3.96,3.77,1.38,0.81,1.08,1.73,3.42,3.04,2.85,2.38,"24","ene-79","jul-12"
"24","27035030","Santa Margarita","El Bagre","Antioquia",7.73,-74.77,179,0.33,1,0.33,1.33,1.67,0.67,0.33,1,0.67,2.33,0.33,0.67,0.89,"3","ene-78","abr-80"
"25","26175040","Hacienda Túnez","Fredonia","Antioquia",5.8,-75.65,530,1.24,1.03,1.21,2.45,2.66,0.93,0.59,0.45,1.21,1.66,1.14,1.24,1.32,"25","ene-79","sep-12"
"26","11115040","Musinga","Frontino","Antioquia",6.78,-76.18,1330,2.04,1.32,2.54,4.32,3.18,2.32,1.57,1.96,2.18,2.89,2.36,2.18,2.4,"32","mar-85","sep-12"
"27","27015210","El Vivero","Guarne","Antioquia",6.28,-75.5,2400,2.88,2.5,2.44,3.56,3.69,1.75,0.81,0.94,3.13,5,3.38,4.25,2.86,"14","ene-81","jun-96"
"28","26225050","El palmar","Ituango","Antioquia",7.12,-75.67,580,0.33,0.89,0.89,0.89,1.22,0.89,0.78,0.33,1.67,0.56,0.89,1.67,0.92,"6","may-82","may-92"
"29","26195010","Miguel Valencia","Jardín","Antioquia",5.53,-75.85,1570,2.8,2.3,2.5,2.3,2,1.2,0.5,1,2.5,3.4,2.3,1.9,2.06,"10","ene-84","dic-94"
"30","26195030","El Jardín","Jardín","Antioquia",5.58,-75.8,2005,4,2.44,4.56,5.89,5.11,3.44,3.22,1.44,3.33,3.89,5.44,4.89,3.97,"7","ene-01","ago-12"
"31","26185020","Mesopotamia","La Unión","Antioquia",5.88,-75.32,2314,2.12,2.15,3.33,3.94,3.3,2.09,0.79,0.58,2.03,3.7,3.15,2.61,2.48,"30","ene-78","oct-12"
"32","27015070","Aeropuerto Olaya Herrera","Medellín","Antioquia",6.22,-75.58,1490,1.32,1.08,1.81,2.35,1.81,1.3,0.51,0.51,1.43,1.86,1.51,1.76,1.44,"34","abr-67","dic-12"
"33","27015170","Medellín","Medellín","Antioquia",6.68,-75.58,1491,0.64,0.45,1.64,2.45,2.18,1.18,0.45,0.18,1,1.55,1.36,0.91,1.17,"10","ene-57","abr-67"
"34","12015010","Villarteaga","Mutatá","Antioquia",7.35,-76.48,132,3.17,3.22,4.43,4.91,5.39,5.35,4.26,4.52,4.96,3.57,3.83,5.43,4.42,"22","ene-79","jul-12"
"35","25025140","Nechi","Nechí","Antioquia",8.1,-74.77,200,0.21,1.07,1.14,1.71,1.86,1.14,0.71,0.79,1.29,1.71,0.71,0.57,1.08,"13","ene-78","ene-91"
"36","12025030","El Mellito","Necocli","Antioquia",8.53,-76.67,10,0.93,1.37,2.07,3.23,3.5,2.93,1.9,2.13,2.8,2.47,1.97,1.6,2.24,"30","oct-83","jun-12"
"37","23085170","El Peñol","Peñol","Antioquia",6.23,-75.22,1880,1.14,1.32,1.91,2.5,1.32,1.05,0.32,0.45,1,1.82,1.36,1.59,1.31,"22","feb-60","dic-81"
