"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","entidad","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"1",23105070,"Maceo","Maceo","Antioquía","6,57","-74,79","1112","IDEAM (aut.)","4515,5","4639,6","4348,3","4431,8","4524,9","4999,9","5208,5","5278,1","5498,9","4540,9","4010,3","4102,1","4674,9",8,"abr-06","ago-13"
"2",27015310,"Metromedellin","Medellín","Antioquía","6,33","-75,55","1456","IDEAM (aut.)","4027,6","4243,2","4133,4","4227,1","4157,9","4590,9","4773,3","4749,0","4619,7","4093,2","4095,9","4152,7","4322,0",8,"jul-05","dic-14"
"3",23085260,"La Selva","Rionegro","Antioquía","6,12","-75,40","2090","IDEAM (aut.)","3821,1","4002,5","3897,7","4206,5","4692,4","5024,6","5288,7","5001,1","4574,8","4308,1","4031,0","4173,3","4418,5",5,"may-05","dic-14"
"4",26185050,"Santa Barbara","Santa Barbara","Antioquía","5,85","-75,56","1677","IDEAM (aut.)","5133,0","4922,8","4972,5","4487,0","4411,8","4950,2","5459,0","4989,9","5032,8","4679,3","4500,1","4469,7","4834,0",8,"abr-06","dic-14"
"5",27015320,"Aragón","Santa Rosa","Antioquía","6,78","-75,56","530","IDEAM (aut.)","4069,3","4207,9","3699,6","3666,0","3781,4","4461,6","4884,4","4712,6","4788,7","3831,7","3515,8","3751,5","4114,2",10,"ene-05","dic-14"
"6",26225060,"Hacienda Cotové","Santafé de Antioquia","Antioquía","6,53","-75,82","2600","IDEAM (aut.)","4411,9","4706,8","4612,0","4905,1","4655,0","4775,5","5068,4","4982,7","4884,7","4646,7","4451,7","4236,8","4694,8",9,"may-05","dic-14"
"7",26255030,"Santa Isabel-Valdivia","Valdivia","Antioquía","7,16","-75,44","567","IDEAM (aut.)","3888,4","4263,2","4008,4","4138,8","4016,4","4303,6","4715,4","4631,9","4595,2","4283,1","4170,1","4073,3","4257,3",9,"may-05","dic-14"
"8",23105060,"Vegachí","Vegachí","Antioquía","6,77","-74,80","554,5","IDEAM (aut.)","4309,4","4422,4","4153,8","4232,0","4409,3","4863,5","5238,2","4999,5","4853,7","4373,1","4212,9","4221,8","4524,1",7,"may-05","sep-14"
"9",2904512,"Las Flores","Barranquilla","Atlántico","11,04","-74,82","2","IDEAM (aut.)","6383,8","6369,2","6804,4","6072,2","5971,7","5968,9","6266,6","5594,7","5573,7","5286,9","5399,2","5722,7","5951,2",6,"nov-09","dic-14"
"10",29045190,"Apto. Ernesto Cortissoz","Soledad","Atlántico","10,88","-74,77","31","IDEAM (aut.)","5900,2","6099,4","6251,1","5451,8","4891,2","4848,7","4924,8","4291,6","5064,6","4511,5","4804,3","5057,5","5174,7",2,"feb-14","mar-15"
"11",29015040,"Carmen de Bolívar","Carmen de Bolívar","Bolívar","9,63","-75,10","190","IDEAM (aut.)","5550,7","5644,3","5502,7","5551,7","4920,7","5466,2","5810,3","5336,4","4999,6","4560,2","4615,9","5145,9","5258,7",7,"feb-06","dic-14"
"12",35095120,"Aquitania","Aquitania","Boyacá","5,53","-72,88","3058","IDEAM (aut.)","5354,8","5542,7","4800,7","4247,8","4069,4","4269,9","4098,5","4009,8","4314,5","4375,2","4430,1","5131,6","4553,7",10,"abr-05","ago-14"
"13",35075070,"Chinavita","Chinavita","Boyacá","5,15","-73,33","2012","IDEAM (aut.)","3742,1","3713,7","3293,2","2973,7","2831,9","2672,6","2717,0","2750,6","2892,7","3387,4","3477,4","3859,8","3192,7",10,"mar-05","dic-14"
"14",35085080,"La Capilla","La Capilla","Boyacá","5,08","-73,43","1917","IDEAM (aut.)","5430,2","5388,6","4745,1","4340,3","4336,5","3742,3","3745,9","3936,0","4604,7","4982,0","5014,0","5432,8","4641,5",9,"mar-05","dic-14"
"15",24035430,"Tunguavita","Paipa","Boyacá","5,75","-73,12","2470","IDEAM (aut.)","5527,5","5481,9","4755,9","4414,1","4356,6","4429,4","4552,0","4391,6","4460,4","4604,8","4848,9","5252,2","4756,3",10,"abr-05","dic-14"
"16",23125160,"San Pablo de Borbur","San Pablo de Borbur","Boyacá","5,67","-74,08","742","IDEAM (aut.)","4589,8","4236,5","3965,4","4412,2","4151,6","4644,1","4795,0","4933,4","4860,5","4709,3","4640,4","4797,4","4561,3",6,"may-08","dic-14"
"17",35085070,"Santa Maria","Santa María","Boyacá","4,84","-73,25","1300","IDEAM (aut.)","3876,3","3759,2","3387,0","3198,5","3024,2","2859,8","2849,2","3287,1","3960,2","3934,1","3632,9","3605,0","3447,8",9,"mar-05","dic-14"
"18",24035360,"Socha","Socha","Boyacá","5,99","-72,71","2492","IDEAM (aut.)","5143,8","5329,6","4515,5","4064,8","4091,3","4252,9","4206,9","4191,8","4038,7","4203,6","4308,7","4750,8","4424,9",10,"abr-05","dic-14"
"19",24035410,"Sogamoso","Sogamoso","Boyacá","5,75","-72,91","2495","IDEAM (aut.)","5600,6","5158,9","5124,6","4572,8","4466,4","4316,9","4588,1","4327,3","4327,7","4301,9","4891,3","5089,6","4730,5",7,"may-08","dic-14"
"20",35085060,"Zetaquira","Zetaquira","Boyacá","5,30","-73,17","1434","IDEAM (aut.)","4484,5","4400,0","3970,3","3846,5","3649,8","3178,5","2960,6","3145,7","3564,6","3933,2","4255,7","4470,0","3821,6",10,"abr-05","dic-14"
"21",26155230,"E.M.A.S.","Manizales","Caldas","5,09","-75,51","2207","IDEAM (aut.)","3943,7","3849,3","3695,8","3657,8","3461,1","3546,0","4074,1","3983,2","4117,1","3720,8","3490,2","3667,0","3767,2",10,"may-05","dic-14"
"22",26155220,"Villamaría","Villamaría","Caldas","5,05","-75,51","1898","IDEAM (aut.)","4390,0","4416,8","4224,9","4075,2","3895,5","3845,2","4209,2","4181,3","4345,4","4150,9","4067,0","4191,8","4166,1",10,"may-05","dic-14"
"23",44035040,"Florencia - deslizamiento","Florencia","Caqueta","1,72","-75,63","626","IDEAM (aut.)","3895,1","3694,4","3377,0","3269,2","2928,1","2905,0","3092,2","3314,8","3737,3","3716,1","3540,4","3694,6","3430,3",8,"jun-06","dic-13"
"24",44035050,"Macagual - Florencia","Florencia","Caqueta","1,50","-75,66","257","IDEAM (aut.)","4083,3","3937,4","3349,6","3485,3","3084,8","3204,2","3137,7","3577,7","3770,0","3909,8","3951,1","3918,7","3617,5",10,"jul-05","dic-14"
"25",46015030,"San Vicente del Caguan","San Vicente del Caguan","Caqueta","2,16","-74,75","275","IDEAM (aut.)","5197,7","4388,9","4405,2","4260,6","4121,4","3826,5","3807,3","4143,1","4901,1","4966,2","4745,8","4656,2","4451,7",5,"jul-09","dic-14"
"26",36015020,"El Diamante","Paz de Ariporo","Casanare","5,82","-71,42","160","IDEAM (aut.)","5250,2","5501,1","4995,4","4547,7","4639,5","4315,3","4205,3","4705,0","5211,1","5177,2","4698,3","5105,7","4862,6",9,"oct-05","ago-14"
"27",3521502,"Apto. Yopal","Yopal","Casanare","5,32","-72,38","330","IDEAM (aut.)","5760,7","5339,7","4701,4","4569,8","4296,0","4240,9","4186,0","4453,6","4974,8","4885,2","5091,8","5521,0","4835,1",5,"nov-09","dic-14"
"28",53075020,"El Diviso","Argelia","Cauca","2,31","-77,26","1750","IDEAM (aut.)","3851,6","3935,1","4506,4","4427,2","4756,8","5054,2","5400,9","5565,5","5460,4","4647,5","4196,3","3618,0","4618,3",7,"oct-05","nov-14"
"29",53045040,"Apto. Guapi","Guapi","Cauca","2,58","-77,90","17","IDEAM (aut.)","3055,0","3338,1","3425,6","3763,0","3418,1","3216,7","3286,4","3553,4","3503,4","3064,1","2844,6","3025,0","3291,1",8,"oct-05","dic-14"
"30",21055070,"Inza","Inza","Cauca","2,55","-76,06","1896","IDEAM (aut.)","4495,9","4558,3","4275,4","4284,5","4062,8","3811,3","4168,8","3896,6","4291,8","4408,8","4440,5","4466,6","4263,5",9,"nov-05","sep-14"
"31",52025090,"La Sierra","La Sierra","Cauca","2,19","-76,75","1930","IDEAM (aut.)","4784,3","4926,3","4170,1","3728,1","4295,4","4663,8","5084,2","4933,5","4889,0","4696,5","4464,3","4221,3","4571,4",6,"sep-05","sep-14"
"32",28035060,"Fedearroz","Valledupar","Cesar","10,46","-73,25","184","IDEAM (aut.)","5420,1","5685,3","5317,3","5441,3","5253,8","5388,7","5517,8","5375,4","4996,8","4865,5","4950,3","5152,7","5280,4",10,"sep-05","dic-14"
"33",11159010,"Capurgana","Acandi","Chocó","8,51","-77,32","20","IDEAM (aut.)","3892,9","3854,1","4096,7","4002,6","3946,0","4479,0","4578,3","4512,2","4518,8","4380,1","3918,0","3897,2","4173,0",6,"abr-07","dic-14"
"34",21235030,"Universidad de Cundinamarca","Girardot","Cundinamarca","4,31","-74,81","314","IDEAM (aut.)","4131,5","4306,3","4196,1","4351,7","4223,5","4377,2","4631,8","4663,9","4742,2","4271,8","3988,1","4341,9","4352,2",10,"abr-05","dic-14"
"35",21206980,"Santa Cruz de Siecha","Guasca","Cundinamarca","4,78","-73,87","3174","IDEAM (aut.)","4233,0","4323,9","3729,3","3541,2","3585,0","3762,3","3786,3","3602,3","3660,3","3699,1","3664,1","4071,4","3804,8",9,"abr-05","dic-14"
"36",2120542,"Tibaitatá","Mosquera","Cundinamarca","4,69","-74,21","2593","IDEAM (aut.)","4624,7","4712,7","4020,8","3779,3","3496,6","3791,7","3842,7","3995,4","4058,5","3930,5","3906,4","4253,9","4034,4",10,"feb-05","dic-14"
"37",21206790,"Hacienda Santa Ana","Nemocón","Cundinamarca","5,10","-73,87","2581","IDEAM (aut.)","4944,3","4790,6","4019,6","3964,7","4005,7","4067,4","4110,7","3983,0","3854,0","4187,8","4295,5","4793,5","4251,4",9,"mar-05","may-14"
"38",21195190,"Pasca","Pasca","Cundinamarca","4,33","-74,30","2250","IDEAM (aut.)","4498,8","4121,8","3902,0","4012,0","3899,9","3986,2","3926,8","3893,0","4220,1","3979,6","3704,0","4092,9","4019,8",7,"jul-08","dic-14"
"39",23065190,"Quebrada Negra","Quebrada Negra","Cundinamarca","5,14","-74,48","1105","IDEAM (aut.)","4597,7","4836,8","4601,5","4496,1","4462,3","4636,5","4771,3","4409,5","4787,8","4761,1","4697,8","4562,0","4635,0",7,"abr-05","dic-14"
"40",23125170,"San Cayetano","San Cayetano","Cundinamarca","5,33","-74,02","2807","IDEAM (aut.)","3129,6","2936,9","2884,7","2927,6","3216,3","3460,9","3618,2","3305,0","3493,0","3048,1","2833,7","2999,0","3154,4",8,"feb-05","dic-14"
"41",21206920,"Villa Teresa","Sumapaz","Cundinamarca","4,21","-74,09","3624","IDEAM (aut.)","4707,3","4291,7","3758,3","3410,2","3726,9","3909,1","3998,9","3782,8","4044,0","3824,7","3712,8","4205,9","3947,7",8,"may-07","dic-14"
"42",24015110,"La Boyera","Ubate","Cundinamarca","5,31","-73,85","2610","IDEAM (aut.)","4809,2","4913,9","4294,1","4045,9","3903,1","4048,5","4079,4","4156,6","4307,7","4181,3","3947,8","4440,0","4260,6",10,"jun-05","nov-14"
"43",2306518,"Villeta","Villeta","Cundinamarca","5,02","-74,47","880","IDEAM (aut.)","4620,6","4494,0","4360,2","4394,9","4508,9","4309,1","4451,8","4411,7","4467,5","4691,2","4734,9","4755,8","4516,7",9,"may-05","nov-14"
"44",21115180,"Hacienda Manila","Baraya","Huila","3,13","-75,08","566,8","IDEAM (aut.)","5601,8","5435,3","4891,1","5156,4","5218,5","4908,8","5070,8","4911,7","5092,7","5110,1","5173,9","5306,8","5156,5",6,"jul-05","dic-14"
"45",21015070,"Los Guacharos","La Palestina","Huila","1,68","-76,11","1970","IDEAM (aut.)","3717,6","3433,3","3063,9","3388,2","3238,6","3222,7","3346,4","3298,9","3810,9","3378,4","3298,4","3268,9","3372,2",6,"jun-06","dic-14"
"46",21115170,"La Plata","La Plata","Huila","2,33","-75,83","2114","IDEAM (aut.)","4372,6","4129,2","3597,0","3682,1","3758,4","3807,4","3758,6","3818,2","4074,6","3857,6","3778,8","3906,5","3878,4",9,"jul-05","dic-14"
"47",21015060,"Marengo","Pitalito","Huila","1,85","-76,09","1313","IDEAM (aut.)","4503,8","4197,9","3787,7","4211,6","4119,5","3841,5","3761,0","4084,6","4361,9","4254,9","4277,8","4326,0","4144,0",5,"ago-06","dic-14"
"48",21015040,"La Primavera","Salado Blanco","Huila","2,02","-76,11","1925","IDEAM (aut.)","3971,4","3701,8","3572,5","4093,7","4145,9","4081,2","3700,1","4076,7","4434,3","4140,7","3428,2","3275,4","3885,2",6,"jul-05","dic-14"
"49",15075150,"Granja Paici","Uribia","La Guajira","11,59","-72,32","15","IDEAM (aut.)","5592,9","5884,0","5477,0","5828,4","5427,9","6008,7","6038,2","6010,5","5715,0","4976,4","4970,4","4970,1","5575,0",10,"abr-05","ago-14"
"50",29065130,"La Gran Via","Aracataca","Magdalena","10,85","-74,13","30","IDEAM (aut.)","5236,9","5337,3","5211,5","5228,6","5364,8","4976,6","5049,5","4835,0","4762,8","4547,3","4605,8","4874,8","5002,6",7,"oct-08","dic-14"
"51",150150,"Univ. Tecnológica de Magdalena","Santa Marta","Magdalena","11,22","-74,19","7","IDEAM (aut.)","5539,4","5904,8","5855,5","5756,4","5698,0","5402,9","5370,9","5201,1","5325,3","4721,4","4787,3","5301,5","5405,4",7,"ago-07","dic-14"
"52",35035110,"Salinas de Upin","Restrepo","Meta","4,27","-73,58","330","IDEAM (aut.)","3316,2","3054,5","2898,3","2890,5","2726,4","2696,5","2641,4","3029,5","3703,0","3513,8","2932,3","3150,4","3046,1",7,"jul-08","dic-14"
"53",35035100,"ICA Villavicencio","Villavicencio","Meta","4,14","-73,63","444","IDEAM (aut.)","5117,6","4649,8","4314,9","4342,6","4288,9","4177,2","4256,7","4456,6","5156,4","5035,6","4784,0","4835,8","4618,0",8,"mar-07","nov-14"
"54",52055170,"La Josefina","Contadero","Nariño","0,93","-77,48","2449","IDEAM (aut.)","3858,9","4352,5","3740,6","4073,3","4055,4","4204,4","4079,8","3649,9","4108,1","3877,9","4102,6","3969,7","4006,1",3,"dic-05","dic-14"
"55",52055210,"Botana","Pasto","Nariño","1,16","-77,28","2820","IDEAM (aut.)","3749,1","3499,2","3497,4","3668,8","3685,8","3715,9","3897,4","4006,3","4124,7","3888,8","3765,2","3415,0","3742,8",10,"may-05","dic-14"
"56",52055150,"Cerro Paramo-Puerres","Puerres","Nariño","0,84","-77,39","3577","IDEAM (aut.)","2475,7","2572,7","2399,7","2668,5","2511,7","1938,4","1922,2","1934,4","2250,1","2975,7","3099,5","2931,9","2473,4",9,"nov-05","dic-14"
"57",5503502,"Viento Libre","Taminango","Nariño","1,62","-77,34","1005","IDEAM (aut.)","4888,5","4443,4","4647,8","4639,0","4575,2","4774,3","4842,7","5114,0","5184,5","4804,0","4817,6","4678,6","4784,1",9,"nov-05","dic-14"
"58",52055220,"El Paraiso","Tuquerres","Nariño","1,07","-77,64","3030","IDEAM (aut.)","4521,1","4466,6","4447,8","4300,7","4551,8","4390,7","4637,7","4732,2","4657,3","4656,5","4385,3","4462,6","4517,5",10,"nov-05","dic-14"
"59",16015110,"Univ. F/co de Paula Santander","Cucuta","Norte de Santander","7,90","-72,49","311","IDEAM (aut.)","5030,8","5131,1","4660,8","5009,9","5443,9","5417,0","5476,8","5797,2","6144,0","5576,5","5247,1","4819,7","5312,9",10,"sep-05","dic-14"
"60",16055130,"Alcaldía de Herrán","Herrán","Norte de Santander","7,50","-72,49","2040","IDEAM (aut.)","3998,4","4064,9","3602,2","3292,1","3581,5","3935,9","4080,4","4049,1","4175,0","3664,5","3466,2","3597,3","3792,3",8,"nov-06","dic-14"
"61",16015120,"Unipamplona","Pamplona","Norte de Santander","7,38","-72,65","2362","IDEAM (aut.)","4095,7","3608,1","3581,2","3411,4","3463,9","3699,6","3889,6","4257,5","4107,6","3785,8","3955,8","3836,2","3807,7",5,"oct-09","nov-14"
"62",26125290,"Armenia","Armenia","Quindío","4,53","-75,69","1458","IDEAM (aut.)","3918,2","3837,4","3918,7","3857,4","3691,3","3866,7","4265,8","4175,5","4333,9","3893,8","3879,2","3567,8","3933,8",10,"dic-05","nov-14"
"63",26125300,"Calarcá","Calarcá","Quindío","4,53","-75,60","2248","IDEAM (aut.)","2998,1","2801,8","2575,1","2467,9","2469,5","2642,0","3023,3","3166,4","3299,7","2680,7","2414,8","2415,5","2746,2",10,"may-05","dic-14"
"64",26145090,"Parque Santa Emilia","Belen de Umbria","Risaralda","5,21","-75,90","2004","IDEAM (aut.)","3704,4","4085,1","3891,2","3431,6","3691,0","4183,1","4605,8","4509,8","4310,7","3690,0","3343,4","3424,4","3905,9",9,"oct-05","dic-14"
"65",26135290,"Marsella","Marsella","Risaralda","4,93","-75,74","1649","IDEAM (aut.)","4206,6","4173,0","4224,5","3938,2","3966,3","3941,7","4381,9","4360,1","4395,3","4112,3","3989,2","3854,3","4128,6",10,"may-05","dic-14"
"66",26135300,"Parque Nacional Natural Quimbaya","Pereira","Risaralda","4,73","-75,58","1881","IDEAM (aut.)","3935,9","3948,4","3582,0","3592,7","3446,2","3523,0","4025,5","3790,0","4088,6","3580,9","3168,8","3380,2","3671,8",7,"may-05","dic-14"
"67",24055070,"Vizcaina-La Lizama","Barrancabermeja","Santander","6,98","-73,71","129","IDEAM (aut.)","4528,8","4736,1","4455,0","4210,1","4499,8","4598,3","4740,9","5016,3","4920,3","4644,4","4292,5","4150,0","4566,0",10,"feb-05","dic-14"
"68",2402509,"Mogotes","Mogotes","Santander","6,48","-72,97","1674","IDEAM (aut.)","4299,8","4606,9","3939,0","3986,7","3916,6","4031,1","4223,3","4183,5","4173,6","4101,0","3974,4","4033,3","4122,5",10,"abr-05","dic-14"
"69",24055070,"San Vicente de Chucurí","San Vicente de Chucurí","Santander","6,82","-73,47","1136","IDEAM (aut.)","3366,0","3525,7","3016,4","2938,4","3114,6","3418,7","3589,5","3629,3","3652,3","3170,3","2872,8","2813,4","3258,9",9,"abr-05","nov-14"
"70",25025270,"Unisucre (Puerta Roja)","Sincelejo","Sucre","9,20","-75,39","221","IDEAM (aut.)","4843,9","4986,3","4733,4","4420,1","3860,0","4411,8","4600,9","4354,3","4233,7","3929,5","3733,4","4309,1","4368,0",10,"may-05","dic-14"
"71",25025280,"El Tesoro (IDEAM)","Sampuez","Sucre","9,33","-75,42","168","IDEAM (aut.)","5590,6","5185,0","4641,0","6318,4","5994,4","6070,3","6302,3","5762,9","5079,7","5101,8","5131,4","4936,2","5509,5",5,"may-05","dic-14"
"72",25025340,"San Marcos","San Marcos","Sucre","8,60","-75,14","27","IDEAM (aut.)","5126,5","5207,2","5121,3","4993,0","4712,8","4964,0","5201,1","5087,6","4945,7","4661,8","4427,8","4538,0","4915,5",9,"jul-05","nov-14"
"73",21255160,"Hacienda Pajonales","Ambalema","Tolima","4,77","-74,78","255","IDEAM (aut.)","4811,6","4836,6","4432,7","4886,7","4899,5","4918,7","5248,5","5160,1","5228,1","4806,7","4907,5","5011,4","4929,0",9,"abr-05","dic-14"
"74",21215190,"Cajamarca","Cajamarca","Tolima","4,44","-75,50","2507","IDEAM (aut.)","3653,2","4112,3","4066,1","4064,4","4268,0","4070,0","4254,4","3916,2","3932,8","3964,2","3717,0","3766,9","3982,1",8,"dic-06","dic-14"
"75",21185090,"Nataima","Espinal","Tolima","4,19","-74,96","416","IDEAM (aut.)","4495,1","5294,2","4774,9","5106,1","4761,6","5056,3","5165,3","5206,5","5666,1","5246,1","4843,0","4097,4","4976,1",8,"oct-05","jul-14"
"76",21215180,"Batallón Rooke","Ibagué","Tolima","4,43","-75,32","1200","IDEAM (aut.)","4421,9","4254,2","4553,1","4593,8","4495,7","4917,3","5033,6","4945,3","5074,4","4612,5","4246,8","4167,1","4609,7",9,"dic-06","dic-14"
"77",21215160,"Cerros Noroccidentales","Ibagué","Tolima","4,47","-75,22","1947","IDEAM (aut.)","3495,4","3137,7","3035,9","3180,8","2946,5","3594,0","4042,7","4309,9","4581,2","3297,5","2495,5","2789,8","3408,9",9,"oct-05","dic-14"
"78",21255170,"Murillo","Murillo","Tolima","4,87","75,17","3039","IDEAM (aut.)","3689,7","3950,7","3903,2","4085,8","4608,1","5199,1","5413,7","5150,7","4911,0","3823,4","3461,5","3561,5","4313,2",9,"nov-05","dic-14"
